record_date,fwcode,facility_id,fieldname,error_type,error_desc,branch_condition,field_value
07nov2025 09:17,BB,BB-UE-KNW-PC-CHPS-NANI-0136,a1_3b,REQUIRED_FIELD_MISSING,This question (a1_3b) is marked as REQUIRED in the REDCap form but is blank. Please complete it.,Required field in REDCap dictionary (no branching).,
07nov2025 09:17,BB,BB-UE-KNW-PC-CHPS-NANI-0136,a1_8_1,SHOULD_BE_SKIPPED,"This question (a1_8_1) was filled, but it should only be answered when question a1_7_3 (a1_7_3. 3. Maternal and child healthcare services) is answered yes. Please clear this value or correct the answer to a1_7_3.",These service questions apply ONLY when the provider reports offering that service category (a1_7_3 = YES).,0
07nov2025 09:17,BB,BB-UE-KNW-PC-CHPS-NANI-0136,a1_8_5,SHOULD_BE_SKIPPED,"This question (a1_8_5) was filled, but it should only be answered when question a1_7_3 (a1_7_3. 3. Maternal and child healthcare services) is answered yes. Please clear this value or correct the answer to a1_7_3.",These service questions apply ONLY when the provider reports offering that service category (a1_7_3 = YES).,0
07nov2025 09:17,BB,BB-UE-KNW-PC-CHPS-NANI-0136,e1_7_8,REQUIRED_FIELD_MISSING,This question (e1_7_8) is marked as REQUIRED in the REDCap form but is blank. Please complete it.,Required field in REDCap dictionary (no branching).,
07nov2025 09:17,BB,BB-UE-KNW-PC-CHPS-NANI-0136,f1_3,REQUIRED_FIELD_MISSING,This question (f1_3) is marked as REQUIRED in the REDCap form but is blank. Please complete it.,Required field in REDCap dictionary (no branching).,
07nov2025 09:17,BB,BB-UE-KNW-PC-CHPS-NANI-0136,g1_8_6,REQUIRED_FIELD_MISSING,This question (g1_8_6) is marked as REQUIRED in the REDCap form but is blank. Please complete it.,Required field in REDCap dictionary (no branching).,
07nov2025 11:09,BB,BB-UE-KNW-PC-CHPS-NANI-0137,a1_3b,REQUIRED_FIELD_MISSING,This question (a1_3b) is marked as REQUIRED in the REDCap form but is blank. Please complete it.,Required field in REDCap dictionary (no branching).,
07nov2025 11:09,BB,BB-UE-KNW-PC-CHPS-NANI-0137,c1_5,REQUIRED_FIELD_MISSING,This question (c1_5) is marked as REQUIRED in the REDCap form but is blank. Please complete it.,Required field in REDCap dictionary (no branching).,
07nov2025 11:09,BB,BB-UE-KNW-PC-CHPS-NANI-0137,e1_7_8,REQUIRED_FIELD_MISSING,This question (e1_7_8) is marked as REQUIRED in the REDCap form but is blank. Please complete it.,Required field in REDCap dictionary (no branching).,
07nov2025 11:09,BB,BB-UE-KNW-PC-CHPS-NANI-0137,g1_8_4,REQUIRED_FIELD_MISSING,This question (g1_8_4) is marked as REQUIRED in the REDCap form but is blank. Please complete it.,Required field in REDCap dictionary (no branching).,
07nov2025 11:09,BB,BB-UE-KNW-PC-CHPS-NANI-0137,g1_8_6,REQUIRED_FIELD_MISSING,This question (g1_8_6) is marked as REQUIRED in the REDCap form but is blank. Please complete it.,Required field in REDCap dictionary (no branching).,
